0.64,784.0,343.0,220.5,3.5,4.0,0.25,2.0,20.48
0.76,661.5,416.5,122.5,7.0,3.0,0.4,3.0,38.48
0.66,759.5,318.5,220.5,3.5,2.0,0.1,4.0,14.86
0.64,784.0,343.0,220.5,3.5,5.0,0.1,4.0,19.48
0.74,686.0,245.0,220.5,3.5,5.0,0.1,4.0,13.53
0.76,661.5,416.5,122.5,7.0,3.0,0.25,3.0,36.44
0.79,637.0,343.0,147.0,7.0,2.0,0.4,4.0,38.33
0.79,637.0,343.0,147.0,7.0,3.0,0.1,1.0,35.28
0.64,784.0,343.0,220.5,3.5,4.0,0.25,5.0,20.19
0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,12.08
0.79,637.0,343.0,147.0,7.0,3.0,0.4,1.0,39.07
0.62,808.5,367.5,220.5,3.5,2.0,0.1,3.0,14.09
0.69,735.0,294.0,220.5,3.5,4.0,0.25,4.0,15.83
0.62,808.5,367.5,220.5,3.5,5.0,0.25,5.0,14.75
0.64,784.0,343.0,220.5,3.5,4.0,0.1,5.0,19.26
0.64,784.0,343.0,220.5,3.5,4.0,0.25,4.0,20.37
0.71,710.5,269.5,220.5,3.5,5.0,0.1,2.0,14.21
0.74,686.0,245.0,220.5,3.5,3.0,0.25,5.0,14.58
0.82,612.5,318.5,147.0,7.0,3.0,0.4,5.0,29.56
0.79,637.0,343.0,147.0,7.0,5.0,0.25,5.0,43.73
0.66,759.5,318.5,220.5,3.5,2.0,0.1,5.0,14.54
0.62,808.5,367.5,220.5,3.5,5.0,0.0,0.0,12.04
0.69,735.0,294.0,220.5,3.5,3.0,0.25,3.0,14.38
0.62,808.5,367.5,220.5,3.5,2.0,0.4,3.0,16.9
0.62,808.5,367.5,220.5,3.5,3.0,0.25,2.0,15.64
0.86,588.0,294.0,147.0,7.0,5.0,0.1,5.0,31.28
0.79,637.0,343.0,147.0,7.0,2.0,0.1,3.0,43.12
0.69,735.0,294.0,220.5,3.5,2.0,0.4,4.0,16.81
0.62,808.5,367.5,220.5,3.5,5.0,0.4,1.0,17.2
0.82,612.5,318.5,147.0,7.0,3.0,0.1,4.0,28.61
0.69,735.0,294.0,220.5,3.5,2.0,0.1,2.0,13.2
0.74,686.0,245.0,220.5,3.5,3.0,0.1,1.0,13.71
0.98,514.5,294.0,110.25,7.0,2.0,0.4,2.0,32.96
0.79,637.0,343.0,147.0,7.0,2.0,0.25,4.0,36.26
0.62,808.5,367.5,220.5,3.5,2.0,0.4,1.0,17.2
0.76,661.5,416.5,122.5,7.0,3.0,0.1,5.0,34.35
0.66,759.5,318.5,220.5,3.5,3.0,0.4,5.0,17.79
0.64,784.0,343.0,220.5,3.5,5.0,0.1,5.0,19.29
0.98,514.5,294.0,110.25,7.0,4.0,0.25,5.0,30.0
